"Probe Name","liver conv 1","liver conv 2","liver conv 3","liver conv 4","liver cef 1","liver cef 2","liver cef 3","liver cef 4","liver cdi 1","liver cdi 2","liver cdi 3","liver cdi 4","ileum conv 1","ileum conv 2","ileum conv 3","ileum conv 4","ileum cef 1","ileum cef 2","ileum cef 3","ileum cef 4","ileum cdi 1","ileum cdi 2","ileum cdi 3","ileum cdi 4","cecum conv 1","cecum conv 2","cecum conv 3","cecum conv 4","cecum cef 1","cecum cef 2","cecum cef 3","cecum cef 4","cecum cdi 1","cecum cdi 2","cecum cdi 3","cecum cdi 4"
"Ppm1a",2305.34,2156.42,2243.58,2282.41,2539.56,2312.01,2096.17,2150.93,2978.41,2858.45,2311.99,1945.46,2682.92,2469.92,2523.51,2538.11,2420.37,2061.41,2606.1,3224.61,2660.64,2711.36,2361.79,2585.34,1428.73,1895.87,1800.98,1822.92,1998.5,1410.71,1508.23,1670.22,1309.73,1095.92,1216.07,1178.94
"Ppp2ca",3533.56,3420.76,3016.01,3082.69,3339.29,3363.44,3274.48,3214,3490.95,3452.39,3259.98,3241.35,4136.64,4017.57,3748.99,4275.25,5003.14,4084.85,2689.61,3074.54,3715.75,4106.6,4743.29,3757.77,5236.59,7828.7,6784.76,7226.42,6122.7,5877.66,6327.74,5880.4,5296.59,5148.56,5038.68,6265.5
"Prap1",1.99,2.01,1.92,1.8,2.22,11.75,1.87,1.87,2.24,2.29,2.39,2.42,23010.83,15174.57,20788.42,14511.77,11655.16,6948.91,11288.73,29276.81,14357.09,18074.45,12793.23,16005.99,438.49,693.02,736.86,654.82,5112.85,474.16,449.62,614.77,431.77,235.36,293.54,390.44
"Prdx1",1202.52,1185.09,1269.4,1153.02,1275.54,1252.27,1288.18,1093.47,1349.05,1131.67,1022.53,1159.71,473.63,443.86,493.98,441.12,336.98,316.78,278.36,439.97,344.66,490.47,359.48,322.07,180.25,309.86,271.98,256.12,287.94,186.41,186.74,150.17,212.15,225.4,190.51,218.8
"Prdx6",57.91,47.18,51.19,97.37,93.71,78.24,68.72,80.92,106.88,53.86,43.5,66.9,27.34,38.64,31.22,30.13,13.16,37.98,25.88,49.79,17.28,35.72,28.38,38.64,158.57,348.17,312.29,335.49,33.5,100.22,99.11,130.56,83.37,88,65.93,118.04
"Prex1",12.12,2.01,10.84,21.84,13.73,11.75,3.26,4.19,8.4,12.58,19.62,2.42,16.26,19.91,29.57,16.43,28.76,20.24,8.4,13.1,9.17,12.02,17.28,15.63,89.57,40.28,49.85,39.5,24.78,64.93,49.04,48.43,32.07,38.71,44.9,33.68
"Prf1",1.99,2.01,1.92,1.8,2.22,2.08,1.87,1.87,2.24,2.29,2.39,2.42,11.22,5.44,14.7,2.73,3.4,5.87,3.54,1.11,1.01,9.29,1.56,4.12,20.58,7.43,8.64,2.15,1,3.17,4.41,8.59,3.75,3.05,4.95,3.81
"Prkaa1",380.39,338.18,364.39,300.59,309.19,371.23,343.66,357.92,413.5,335.92,349.15,436.81,574.38,795.44,630.33,892.31,880.26,978.3,644.47,546.69,803.8,824.01,1108.61,925.54,1495.75,2278.34,1638.85,2036.75,1499.92,1555.95,1635.58,1653.67,903.61,972.68,1088.34,1002.61
"Prkab2",47.95,35.14,74.24,70.39,60.38,55.38,66.85,69.69,93.45,30.93,62.61,62.07,179.46,156.97,179.97,178.09,112.65,176.53,127.84,174.29,139.92,163.3,142.14,170.42,236.1,240.07,234.36,175.82,150.02,158.58,212.32,202.27,120.24,149.36,161.07,167.25
"Prkaca",1556.86,1476.09,1490.37,1408.39,1646.52,1457.98,1450.9,1404.15,1490.05,1507.75,1629.05,1140.36,1258.42,1032.95,1031.11,983.64,1292.84,1055.19,943.57,1153.64,1073.41,1109.26,1184.45,1156.68,859.69,1219.18,1257.28,1074.07,934.75,755.81,837.14,890.58,596.89,613.46,653.09,713.22
"Prkacb",394.33,434.51,375.92,372.52,442.48,394.09,418.47,348.56,431.41,441.41,466.16,347.36,230.84,279.56,231.2,242.93,220.91,362.4,190.96,213.2,329.45,276.31,328.96,328.35,420.75,338.59,399.18,300.01,260.99,227.81,273.28,323.63,125.59,141.49,227.3,210.01
"Prkag1",481.91,406.42,420.11,392.31,471.36,435.64,452.14,397.23,473.93,514.79,339.6,509.34,650.94,586.87,605.54,625.62,631.54,604.88,774.6,829.04,677.1,650.86,632.31,783.3,487.77,621.86,630.27,589.46,558.24,448.37,531.26,595.15,433.38,465.05,419.17,490.03
"Prkag2",205.22,235.83,247.18,189.09,262.54,250.71,240.79,245.63,238.93,246.49,258.41,228.89,437.37,367.24,377.47,378.11,259.93,311.71,245.34,258.77,322.36,356.5,303.99,242.58,250.56,329.01,314.08,354.16,281.6,258.35,297.77,260.5,131.46,169.81,152.66,148.5
"Prkca",73.83,105.38,97.3,90.18,142.58,80.32,111.74,71.57,64.35,92.85,74.55,23.39,668.07,866.09,810.48,906.01,616.91,764.56,713.42,959.1,874.75,945.22,738.67,670.35,455.57,516.49,515.62,581.99,593.91,446.34,484.45,511.18,276.28,323.99,319.82,292.02
"Prkdc",141.51,107.39,187.61,127.94,187.01,182.14,139.79,168.89,109.12,124.95,174.84,132.18,126.07,200.39,185.75,216.45,104.84,199.35,170.57,136.5,204.79,207.05,200.41,138,344.52,272.22,264.82,281.33,209.47,248.17,294.5,240.88,144.82,145.16,179.99,177.21
"Prlr",1212.48,1299.48,1254.03,1349.05,1862.01,1462.14,1781.95,1020.47,2380.83,2000.79,1199.24,1411.15,883.66,1027.84,1027.81,978.16,736.88,900.58,755.17,1251.46,1147.4,1212.24,1086.42,1063.59,127.68,255.12,170.77,240.25,644.64,276.67,292.87,298.5,78.03,76.46,79.59,80.55
"Pros1",1499.13,1114.85,1388.53,1180,1324.41,1501.62,1521.97,1435.97,1425.14,1704.97,2025.44,1679.51,538.11,689.03,644.38,650.28,351.61,652.19,453.16,665.63,689.27,764.78,606.42,510.33,270.27,369.38,284.52,230.91,323.61,151.12,258.58,134.85,173.68,242.7,220.47,172.52
"Psen2",440.11,426.49,433.56,415.68,453.59,475.12,454.01,479.58,482.89,597.35,513.92,560.12,99.88,119.51,129.56,116.9,117.52,170.62,142.41,130.94,130.8,98.6,133.82,147.41,204.56,155.91,191.37,149.68,123.07,159.94,143.2,195.53,122.91,131.53,135.84,115.7
"Psenen",2454.64,2423.34,2476.08,2487.42,2561.77,2316.17,2371.11,2162.16,2470.35,2431.91,2507.79,2484.61,3125.19,2784.9,2847.44,2958.24,2801.74,2360.49,2957.64,3654.81,2992.07,2969.27,2908.38,3476.43,2006.97,2741.56,2610.71,2607.25,2351.23,2499.97,2309.94,2812.1,2521.66,1901.41,2004.56,2256.82
"Psmb1",396.32,358.25,375.92,365.33,393.61,375.38,369.84,326.1,400.07,335.92,380.19,289.33,234.87,213.16,212.2,207.31,211.16,195.97,185.14,233.21,191.61,206.14,240.17,189.24,152,248.28,183.31,172.09,170.63,152.48,178.57,161.2,144.82,148.83,135.84,157.87
"Psmb7",4572.68,4309.81,4416.77,4249.84,3912.43,4462.66,4329.35,4117.99,4668.21,4089.9,4083.79,3809.51,1857.84,1900.41,1870.69,1900.61,1939.51,1805.42,1257.23,1402.64,1641,1735.34,1753.24,1221.52,1612.72,2072.39,1822.47,1859.34,1851.07,1720.18,1696,1555.61,1946.69,2091.77,1683.91,1894.21
"Psmb8",850.18,825.86,902.4,957,760.15,799.28,642.91,842.67,975.28,888.59,1065.52,985.63,2084.51,1742.07,3546.54,2446.78,889.04,607.41,1032.91,2371.99,1748.44,1321.59,998.56,1500.77,2037.85,467.91,913.32,791.15,336.3,722.55,314.64,513.02,260.24,290.42,613.14,428.52
"Psmc3",2824.89,2611.99,2645.17,2661.87,2639.53,2775.39,2849.91,2682.46,2721.03,2509.88,2648.68,2895.62,2102.65,2063.01,2014.47,2185.57,2294.54,1938.06,1523.32,1691.67,1991.69,2058.86,1923.41,1703.67,1625.86,1943.76,1964,1807.98,1919.23,1692.36,1738.45,1654.9,1860.65,2145.26,1852.65,1958.65
